"Notes"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"#Salmonella infections (A01-A02)"	"GR113-001"	"1999"	"1999"	38	279040168	0.0
	"#Salmonella infections (A01-A02)"	"GR113-001"	"2000"	"2000"	28	281421906	0.0
	"#Salmonella infections (A01-A02)"	"GR113-001"	"2001"	"2001"	41	284968955	0.0
	"#Salmonella infections (A01-A02)"	"GR113-001"	"2002"	"2002"	21	287625193	0.0
	"#Salmonella infections (A01-A02)"	"GR113-001"	"2003"	"2003"	43	290107933	0.0
	"#Salmonella infections (A01-A02)"	"GR113-001"	"2004"	"2004"	30	292805298	0.0
	"#Salmonella infections (A01-A02)"	"GR113-001"	"2005"	"2005"	30	295516599	0.0
	"#Salmonella infections (A01-A02)"	"GR113-001"	"2006"	"2006"	34	298379912	0.0
	"#Salmonella infections (A01-A02)"	"GR113-001"	"2007"	"2007"	30	301231207	0.0
	"#Salmonella infections (A01-A02)"	"GR113-001"	"2008"	"2008"	44	304093966	0.0
	"#Salmonella infections (A01-A02)"	"GR113-001"	"2009"	"2009"	26	306771529	0.0
	"#Salmonella infections (A01-A02)"	"GR113-001"	"2010"	"2010"	28	308745538	0.0
	"#Salmonella infections (A01-A02)"	"GR113-001"	"2011"	"2011"	44	311591917	0.0
	"#Salmonella infections (A01-A02)"	"GR113-001"	"2012"	"2012"	44	313914040	0.0
	"#Salmonella infections (A01-A02)"	"GR113-001"	"2013"	"2013"	40	316128839	0.0
	"#Salmonella infections (A01-A02)"	"GR113-001"	"2014"	"2014"	45	318857056	0.0
	"#Salmonella infections (A01-A02)"	"GR113-001"	"2015"	"2015"	53	321418820	0.0
	"#Salmonella infections (A01-A02)"	"GR113-001"	"2016"	"2016"	37	323127513	0.0
	"#Salmonella infections (A01-A02)"	"GR113-001"	"2017"	"2017"	49	325719178	0.0
	"#Salmonella infections (A01-A02)"	"GR113-001"	"2018"	"2018"	58	327167434	0.0
	"#Salmonella infections (A01-A02)"	"GR113-001"	"2019"	"2019"	53	328239523	0.0
	"#Salmonella infections (A01-A02)"	"GR113-001"	"2020 "	"2020"	58	329484123	0.0
	"#Shigellosis and amebiasis (A03,A06)"	"GR113-002"	"1999"	"1999"	10	279040168	Unreliable
	"#Shigellosis and amebiasis (A03,A06)"	"GR113-002"	"2000"	"2000"	12	281421906	Unreliable
	"#Shigellosis and amebiasis (A03,A06)"	"GR113-002"	"2005"	"2005"	10	295516599	Unreliable
	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"1999"	"1999"	1108	279040168	0.4
	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2000"	"2000"	1328	281421906	0.5
	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2001"	"2001"	1537	284968955	0.5
	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2002"	"2002"	2465	287625193	0.9
	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2003"	"2003"	3090	290107933	1.1
	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2004"	"2004"	4357	292805298	1.5
	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2005"	"2005"	5667	295516599	1.9
	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2006"	"2006"	6639	298379912	2.2
	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2007"	"2007"	6758	301231207	2.2
	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2008"	"2008"	7876	304093966	2.6
	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2009"	"2009"	10251	306771529	3.3
	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2010"	"2010"	10276	308745538	3.3
	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2011"	"2011"	11043	311591917	3.5
	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2012"	"2012"	10621	313914040	3.4
	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2013"	"2013"	10590	316128839	3.3
	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2014"	"2014"	9773	318857056	3.1
	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2015"	"2015"	10067	321418820	3.1
	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2016"	"2016"	9324	323127513	2.9
	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2017"	"2017"	8806	325719178	2.7
	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2018"	"2018"	7904	327167434	2.4
	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2019"	"2019"	7294	328239523	2.2
	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2020 "	"2020"	6851	329484123	2.1
	"#Tuberculosis (A16-A19)"	"GR113-004"	"1999"	"1999"	930	279040168	0.3
	"#Tuberculosis (A16-A19)"	"GR113-004"	"2000"	"2000"	776	281421906	0.3
	"#Tuberculosis (A16-A19)"	"GR113-004"	"2001"	"2001"	764	284968955	0.3
	"#Tuberculosis (A16-A19)"	"GR113-004"	"2002"	"2002"	784	287625193	0.3
	"#Tuberculosis (A16-A19)"	"GR113-004"	"2003"	"2003"	711	290107933	0.2
	"#Tuberculosis (A16-A19)"	"GR113-004"	"2004"	"2004"	657	292805298	0.2
	"#Tuberculosis (A16-A19)"	"GR113-004"	"2005"	"2005"	648	295516599	0.2
	"#Tuberculosis (A16-A19)"	"GR113-004"	"2006"	"2006"	652	298379912	0.2
	"#Tuberculosis (A16-A19)"	"GR113-004"	"2007"	"2007"	554	301231207	0.2
	"#Tuberculosis (A16-A19)"	"GR113-004"	"2008"	"2008"	585	304093966	0.2
	"#Tuberculosis (A16-A19)"	"GR113-004"	"2009"	"2009"	529	306771529	0.2
	"#Tuberculosis (A16-A19)"	"GR113-004"	"2010"	"2010"	569	308745538	0.2
	"#Tuberculosis (A16-A19)"	"GR113-004"	"2011"	"2011"	539	311591917	0.2
	"#Tuberculosis (A16-A19)"	"GR113-004"	"2012"	"2012"	510	313914040	0.2
	"#Tuberculosis (A16-A19)"	"GR113-004"	"2013"	"2013"	555	316128839	0.2
	"#Tuberculosis (A16-A19)"	"GR113-004"	"2014"	"2014"	493	318857056	0.2
	"#Tuberculosis (A16-A19)"	"GR113-004"	"2015"	"2015"	470	321418820	0.1
	"#Tuberculosis (A16-A19)"	"GR113-004"	"2016"	"2016"	528	323127513	0.2
	"#Tuberculosis (A16-A19)"	"GR113-004"	"2017"	"2017"	515	325719178	0.2
	"#Tuberculosis (A16-A19)"	"GR113-004"	"2018"	"2018"	542	327167434	0.2
	"#Tuberculosis (A16-A19)"	"GR113-004"	"2019"	"2019"	526	328239523	0.2
	"#Tuberculosis (A16-A19)"	"GR113-004"	"2020 "	"2020"	600	329484123	0.2
	"Respiratory tuberculosis (A16)"	"GR113-005"	"1999"	"1999"	764	279040168	0.3
	"Respiratory tuberculosis (A16)"	"GR113-005"	"2000"	"2000"	615	281421906	0.2
